restaurant,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,calories
6,16,6,0,80,1140,49,6,9,32,460
1,43,7,0,80,1760,40,5,8,34,670
6,18,7,1,30,950,59,8,12,21,480
5,38,16,2,110,1350,35,1,7,31,600
0,10,3,0,30,1230,58,3,23,18,400
7,11,5,0,35,370,15,3,2,9,200
2,2,1,0,35,220,1,0,0,13,70
2,18,1.5,0,115,1460,14,2,1,41,390
7,16,6,0,30,1030,50,4,3,15,410
5,39,8,0,90,1540,62,3,11,32,730
1,23,8,1,55,730,29,2,6,16,380
7,35,13,1,75,2260,70,10,4,28,710
7,18,3,0,25,640,22,1,1,9,290
5,76,32,4,235,1550,44,2,8,63,1120
5,59,20,2,140,1350,45,2,7,39,870
1,13,4,0.5,25,450,38,1,9,9,310
0,51,17,1,155,2940,83,5,19,62,1030
3,30,5,0,55,1250,59,7,8,24,600
4,66,10,0,265,4450,156,5,87,97,1600
7,39,6,0,30,1100,82,13,5,18,760
7,16,6,0,35,670,40,7,3,14,350
1,16,7,0,55,830,32,1,7,18,330
0,11,4.5,0,30,670,21,1,1,14,240
0,35,12,1,110,1240,42,2,7,33,760
4,25,6,0,75,960,46,8,9,28,520
6,48,18,2,100,2960,94,10,16,48,980
1,33,13,1.5,85,1030,45,2,9,26,580
4,22,4,0,45,1000,59,3,13,25,530
1,14,6,0,45,710,28,1,6,16,300
3,26,13,1,100,750,34,1,9,29,540
3,17,7,1,35,900,22,1,4,11,290
0,44,6,0.5,75,1210,81,6,20,33,840
3,34,18,2,125,1240,35,1,9,34,640
3,19,9,0,100,1540,11,3,6,42,380
4,35,9,0.5,95,1780,69,5,14,39,740
6,5,1,0,20,830,46,5,8,18,290
1,61,24,3,205,1640,52,2,12,55,970
6,9,4,0,20,680,43,5,6,15,320
6,26,7,0,70,1600,46,5,8,33,570
7,37,8,0,50,1290,53,4,4,17,620
6,3,1,0,0,310,44,5,6,8,230
1,29,5,0,50,890,34,5,0,21,470
0,5,2.5,0,15,100,4,1,2,5,70
7,16,4.5,0,30,550,19,3,1,10,260
1,27,4.5,0,30,1360,54,2,7,17,530
6,4,1,0,40,450,10,4,5,18,140
3,22,3,0,20,1210,53,2,7,17,470
6,10,5,0,50,1060,48,5,8,26,380
2,46,2.5,0,285,3660,35,4,1,103,970
4,27,4,0,105,1780,63,2,35,39,640
