restaurant,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,calories
6,32,12.0,0.0,160,2280,98,12.0,18,64.0,920
3,14,7.0,1.0,50,680,34,1.0,9,17.0,350
7,23,10.0,0.5,60,840,37,3.0,3,22.0,440
6,62,22.0,0.0,170,2940,94,10.0,14,58.0,1160
7,28,10.0,1.0,55,880,40,5.0,5,20.0,490
7,30,7.0,0.0,70,1090,22,3.0,1,20.0,440
4,7,0.5,0.0,0,20,13,5.0,7,7.0,140
4,32,7.0,0.0,80,1430,69,6.0,12,31.0,680
5,18,7.0,0.0,40,870,27,1.0,3,11.0,320
4,10,3.5,0.0,15,500,26,6.0,9,8.0,220
1,50,13.0,0.0,120,1960,32,5.0,7,36.0,720
1,11,2.0,0.0,25,310,10,1.0,0,10.0,190
6,6,2.0,0.0,0,620,88,10.0,12,16.0,460
1,48,28.0,2.5,220,1900,48,1.0,10,57.0,1040
7,19,6.0,0.0,25,960,46,4.0,3,14.0,410
4,7,2.0,0.0,95,1110,44,3.0,11,37.0,380
7,19,6.0,0.0,35,650,39,5.0,2,13.0,380
3,9,3.0,0.0,50,830,41,2.0,9,17.0,310
4,18,8.0,1.0,70,840,34,2.0,7,23.0,380
5,54,22.0,1.0,85,1940,54,3.0,9,30.0,830
0,9,4.0,0.0,35,1030,37,2.0,6,18.0,300
3,37,13.0,1.0,95,1250,44,2.0,13,30.0,630
7,18,7.0,1.0,45,1320,53,9.0,3,21.0,460
6,8,4.0,0.0,20,420,10,4.0,5,10.0,150
0,24,8.0,0.0,65,1000,26,4.0,4,28.0,430
6,17,9.0,1.0,85,1310,51,6.0,8,38.0,500
6,10,4.0,0.0,50,1280,44,10.0,16,46.0,640
5,57,10.0,1.0,90,2610,126,8.0,9,44.0,1190
1,40,12.0,0.0,150,1540,18,3.0,6,42.0,590
4,36,14.0,1.5,110,1260,40,3.0,10,37.0,640
7,11,5.0,0.0,35,530,22,3.0,3,10.0,230
3,2,0.5,0.0,40,730,10,3.0,6,23.0,150
7,6,3.0,0.0,30,460,18,1.0,1,12.0,170
6,3,1.0,0.0,25,390,30,4.0,5,14.0,200
2,4,1.0,0.0,70,440,2,0.0,0,25.0,140
6,38,6.0,0.0,40,1380,102,10.0,16,26.0,840
7,18,7.0,0.0,35,640,32,4.0,6,12.0,340
1,37,10.0,0.0,115,1640,17,3.0,5,36.0,550
1,48,12.0,1.0,100,1750,31,4.0,8,35.0,690
1,65,24.0,3.0,200,1320,48,2.0,8,56.0,1000
3,15,4.0,0.0,30,800,22,1.0,1,15.0,280
6,8,2.0,0.0,40,1640,92,10.0,16,36.0,560
4,28,10.0,1.0,80,950,46,3.0,9,25.0,540
6,8,2.0,0.0,40,1620,92,10.0,14,36.0,560
7,14,5.0,0.0,25,640,37,7.0,2,13.0,320
7,18,4.0,0.0,40,530,29,3.0,4,16.0,340
6,18,6.0,0.0,50,590,47,5.0,8,19.0,430
4,36,9.0,0.5,95,1820,80,5.0,18,39.0,800
7,28,7.0,0.0,50,1900,98,13.0,7,33.0,780
1,48,16.0,2.0,95,1360,47,2.0,9,29.0,770
0,34,11.0,0.5,85,2130,39,4.0,6,37.0,620
1,16,6.0,1.0,30,960,32,2.0,10,11.0,310
0,11,1.5,0.0,30,640,19,1.0,0,16.0,240
1,43,16.0,1.5,125,1570,52,2.0,12,35.0,730
7,30,10.0,0.0,60,1440,64,4.0,4,24.0,620
4,14,6.0,0.0,45,1230,9,3.0,4,42.0,320
0,44,13.0,0.0,75,1360,55,4.0,6,23.0,710
0,12,3.5,0.0,25,720,30,1.0,1,15.0,290
6,20,10.0,0.0,100,2120,96,10.0,16,52.0,760
0,27,9.0,0.0,65,1640,39,4.0,6,30.0,520
7,23,4.0,0.0,50,1460,66,10.0,4,27.0,580
6,32,12.0,0.0,90,2600,92,10.0,16,40.0,820
5,22,4.0,0.0,45,1250,27,3.0,1,18.0,380
1,54,25.0,3.0,210,1740,50,2.0,11,56.0,900
5,28,9.0,1.0,60,800,33,1.0,4,19.0,450
4,45,12.0,0.5,120,1980,81,4.0,18,46.0,920
